"k","g","lambda","s"
1,1,0.0319302030769103,0.0309422119652122
1,1,0.0351737350096938,0.0339785813918129
1,1,0.0387467512045613,0.0373014415300259
1,1,0.0426827213116382,0.0409354834785654
1,1,0.0470185148929985,0.0449070519997477
1,1,0.0517947467923121,0.0492441580928903
1,1,0.0570561575878102,0.0539764677384896
1,1,0.062852032692401,0.0591352613149595
1,1,0.0692366640267873,0.0647533575644884
1,1,0.0762698585902344,0.0708649954112229
1,1,0.0840174986929434,0.0775056664622552
1,1,0.0925521590979135,0.0847118907113149
1,1,0.101953786853273,0.0925209278915508
1,1,0.112310450183295,0.100970417175158
1,1,0.123719163453216,0.110097938592614
1,1,0.136286795935577,0.119940490748521
1,1,0.150131072890817,0.130533881250132
1,1,0.165381678339567,0.141912028834367
1,1,0.182181469856698,0.154106179551927
1,1,0.200687816766497,0.167144043575754
1,1,0.221074074274313,0.181048864218739
1,1,0.243531207343342,0.195838436466438
1,1,0.268269579527973,0.211524098549945
1,1,0.295520923520289,0.228109726485371
1,1,0.325540511868503,0.245590767655691
1,1,0.358609548201183,0.263953354866368
1,1,0.395037801356664,0.28317354624548
1,1,0.435166507092442,0.303216738226467
1,1,0.479371564555822,0.324037298026444
1,1,0.528067057458264,0.3455784580139
1,1,0.581709132937436,0.367772506856003
1,1,0.6408002744416,0.390541301353499
1,1,0.705894008661875,0.413797108775584
1,1,0.777600090603804,0.43744377304778
1,1,0.85659021536855,0.461378180428743
1,1,0.943604310147889,0.485491982715396
1,1,1.03945746537226,0.509673520051829
1,1,1.14504756993828,0.533809872557385
1,1,1.26136372203744,0.557788961477183
1,1,1.38949549437314,0.581501617243124
1,1,1.53064314055636,0.60484353405113
1,1,1.68612883828688,0.627717038086019
1,1,1.85740907463857,0.650032608604882
1,1,2.04608828946601,0.67171010654609
1,1,2.25393390473479,0.692679682723456
1,1,2.48289288056033,0.71288235547482
1,1,2.73510995304121,0.732270264444082
1,1,3.01294772472699,0.750806621816129
1,1,3.31900879591468,0.768465393970512
1,1,3.6561601440852,0.785230754730308
1,1,4.0275599798503,0.801096356083697
1,1,4.43668733097862,0.816064463685095
1,1,4.88737463162443,0.830145003066659
1,1,5.38384362203349,0.843354558913606
1,1,5.93074489501057,0.855715364632754
1,1,6.53320145959378,0.867254313406624
1,1,7.19685673001152,0.878002015536193
1,1,7.92792738945061,0.887991920590482
1,1,8.73326162382844,0.897259517040839
1,1,9.62040327106476,0.90584161688808
1,1,10.5976624867607,0.91377572841583
1,1,11.6741935882346,0.921099516664453
1,1,12.8600808061057,0.927850348494399
1,1,14.1664327466902,0.93406491712969
1,1,15.6054864500707,0.939778939749414
1,1,17.1907220185857,0.945026920922749
1,1,18.9369888895036,0.949841974355191
1,1,20.8606449347196,0.954255695429563
1,1,22.9797096904697,0.958298077295013
1,1,25.3140331524157,0.961997463702815
1,1,27.8854817172629,0.965380532345342
1,1,30.718143012687,0.968472303072724
1,1,33.8385515342824,0.971296166001162
1,1,37.2759372031494,0.973873925158449
1,1,41.062499172443,0.976225853915615
1,1,45.233707447721,0.978370759015362
1,1,49.8286351464731,0.980326050520178
1,1,54.8903245092156,0.982107815462136
1,1,60.4661900907044,0.983730893381804
1,1,66.6084629080916,0.985208952297001
1,1,73.3746797065139,0.986554563946412
1,1,80.8282219252272,0.987779277412214
1,1,89.0389094129674,0.988893690444278
